22,14,557,,,,,,,,,,,,,,,,,,
23,14,492,,,,,,,,,,,,,,,,,,
24,14,387,,,,,,,,,,,,,,,,,,
25,14,393,,,,,,,,,,,,,,,,,,
26,14,33.2,,,,,,,,,,,,,,,,,,
27,14,4.3,,,,,,,,,,,,,,,,,,
28,14,79.2,,,,,,,,,,,,,,,,,,
29,14,411,,,,,,,,,,,,,,,,,,
30,14,266,,,,,,,,,,,,,,,,,,
31,14,1075,,,,,,,,,,,,,,,,,,
19,10,338,,,,,,,,,,,,,,,,,,
20,10,636,,,,,,,,,,,,,,,,,,
21,10,994,,,,,,,,,,,,,,,,,,
22,10,233,,,,,,,,,,,,,,,,,,
23,10,102,,,,,,,,,,,,,,,,,,
24,10,61.4,,,,,,,,,,,,,,,,,,
25,10,28,,,,,,,,,,,,,,,,,,
26,10,403,,,,,,,,,,,,,,,,,,
27,10,421,,,,,,,,,,,,,,,,,,
28,10,434,,,,,,,,,,,,,,,,,,
29,10,52.2,,,,,,,,,,,,,,,,,,
30,10,57,,,,,,,,,,,,,,,,,,
31,10,741,,,,,,,,,,,,,,,,,,
19,13,384,,,,,,,,,,,,,,,,,,
20,13,670,,,,,,,,,,,,,,,,,,
21,13,1028,,,,,,,,,,,,,,,,,,
22,13,267,,,,,,,,,,,,,,,,,,
23,13,113,,,,,,,,,,,,,,,,,,
24,13,17.8,,,,,,,,,,,,,,,,,,
25,13,21.7,,,,,,,,,,,,,,,,,,
26,13,363,,,,,,,,,,,,,,,,,,
27,13,381,,,,,,,,,,,,,,,,,,
28,13,394,,,,,,,,,,,,,,,,,,
29,13,31.7,,,,,,,,,,,,,,,,,,
30,13,16.4,,,,,,,,,,,,,,,,,,
31,13,787,,,,,,,,,,,,,,,,,,
19,2,837,,,,,,,,,,,,,,,,,,
20,2,499,,,,,,,,,,,,,,,,,,
21,2,21.5,,,,,,,,,,,,,,,,,,
22,2,763,,,,,,,,,,,,,,,,,,
23,2,1078,,,,,,,,,,,,,,,,,,
24,2,1031,,,,,,,,,,,,,,,,,,
25,2,998,,,,,,,,,,,,,,,,,,
26,2,1291,,,,,,,,,,,,,,,,,,
27,2,1235,,,,,,,,,,,,,,,,,,
28,2,1128,,,,,,,,,,,,,,,,,,
29,2,1022,,,,,,,,,,,,,,,,,,
30,2,1021,,,,,,,,,,,,,,,,,,
31,2,424,,,,,,,,,,,,,,,,,,
19,3,384,,,,,,,,,,,,,,,,,,
20,3,670,,,,,,,,,,,,,,,,,,
21,3,1028,,,,,,,,,,,,,,,,,,
22,3,267,,,,,,,,,,,,,,,,,,
23,3,114,,,,,,,,,,,,,,,,,,
24,3,18.2,,,,,,,,,,,,,,,,,,
25,3,22.7,,,,,,,,,,,,,,,,,,
26,3,361,,,,,,,,,,,,,,,,,,
27,3,380,,,,,,,,,,,,,,,,,,
28,3,393,,,,,,,,,,,,,,,,,,
29,3,32.1,,,,,,,,,,,,,,,,,,
30,3,16.2,,,,,,,,,,,,,,,,,,
31,3,787,,,,,,,,,,,,,,,,,,
19,4,758,,,,,,,,,,,,,,,,,,
20,4,747,,,,,,,,,,,,,,,,,,
21,4,1262,,,,,,,,,,,,,,,,,,
22,4,558,,,,,,,,,,,,,,,,,,
23,4,491,,,,,,,,,,,,,,,,,,
24,4,388,,,,,,,,,,,,,,,,,,
25,4,396,,,,,,,,,,,,,,,,,,
26,4,34.2,,,,,,,,,,,,,,,,,,
27,4,4.4,,,,,,,,,,,,,,,,,,
28,4,78.5,,,,,,,,,,,,,,,,,,
29,4,412,,,,,,,,,,,,,,,,,,
30,4,366,,,,,,,,,,,,,,,,,,
31,4,1077,,,,,,,,,,,,,,,,,,
19,5,21.7,,,,,,,,,,,,,,,,,,
20,5,686,,,,,,,,,,,,,,,,,,
21,5,776,,,,,,,,,,,,,,,,,,
22,5,287,,,,,,,,,,,,,,,,,,
23,5,351,,,,,,,,,,,,,,,,,,
24,5,377,,,,,,,,,,,,,,,,,,
25,5,349,,,,,,,,,,,,,,,,,,
26,5,726,,,,,,,,,,,,,,,,,,
27,5,743,,,,,,,,,,,,,,,,,,
28,5,756,,,,,,,,,,,,,,,,,,
29,5,361,,,,,,,,,,,,,,,,,,
30,5,379,,,,,,,,,,,,,,,,,,
31,5,425,,,,,,,,,,,,,,,,,,
19,7,723,,,,,,,,,,,,,,,,,,
20,7,716,,,,,,,,,,,,,,,,,,
21,7,1232,,,,,,,,,,,,,,,,,,
22,7,511,,,,,,,,,,,,,,,,,,
23,7,461,,,,,,,,,,,,,,,,,,
24,7,358,,,,,,,,,,,,,,,,,,
25,7,363,,,,,,,,,,,,,,,,,,
26,7,85.1,,,,,,,,,,,,,,,,,,
27,7,80.7,,,,,,,,,,,,,,,,,,
28,7,57.2,,,,,,,,,,,,,,,,,,
29,7,381,,,,,,,,,,,,,,,,,,
30,7,333,,,,,,,,,,,,,,,,,,
31,7,1031,,,,,,,,,,,,,,,,,,
19,8,375,,,,,,,,,,,,,,,,,,
20,8,557,,,,,,,,,,,,,,,,,,
21,8,914,,,,,,,,,,,,,,,,,,
22,8,153,,,,,,,,,,,,,,,,,,
23,8,181,,,,,,,,,,,,,,,,,,
24,8,134,,,,,,,,,,,,,,,,,,
25,8,101,,,,,,,,,,,,,,,,,,
26,8,394,,,,,,,,,,,,,,,,,,
27,8,413,,,,,,,,,,,,,,,,,,
28,8,419,,,,,,,,,,,,,,,,,,
29,8,125,,,,,,,,,,,,,,,,,,
30,8,124,,,,,,,,,,,,,,,,,,
31,8,671,,,,,,,,,,,,,,,,,,
19,6,335,,,,,,,,,,,,,,,,,,
20,6,627,,,,,,,,,,,,,,,,,,
21,6,985,,,,,,,,,,,,,,,,,,
22,6,224,,,,,,,,,,,,,,,,,,
23,6,106,,,,,,,,,,,,,,,,,,
24,6,71.5,,,,,,,,,,,,,,,,,,
25,6,35.9,,,,,,,,,,,,,,,,,,
26,6,407,,,,,,,,,,,,,,,,,,
27,6,425,,,,,,,,,,,,,,,,,,
28,6,438,,,,,,,,,,,,,,,,,,
29,6,57.1,,,,,,,,,,,,,,,,,,
30,6,61,,,,,,,,,,,,,,,,,,
31,6,738,,,,,,,,,,,,,,,,,,
19,1,418,,,,,,,,,,,,,,,,,,
20,1,583,,,,,,,,,,,,,,,,,,
21,1,408,,,,,,,,,,,,,,,,,,
22,1,581,,,,,,,,,,,,,,,,,,
23,1,774,,,,,,,,,,,,,,,,,,
24,1,800,,,,,,,,,,,,,,,,,,
25,1,771,,,,,,,,,,,,,,,,,,
26,1,1064,,,,,,,,,,,,,,,,,,
27,1,1083,,,,,,,,,,,,,,,,,,
28,1,1089,,,,,,,,,,,,,,,,,,
29,1,785,,,,,,,,,,,,,,,,,,
30,1,794,,,,,,,,,,,,,,,,,,
31,1,2.7,,,,,,,,,,,,,,,,,,
9,19,838,,,,,,,,,,,,,,,,,,
9,20,501,,,,,,,,,,,,,,,,,,
9,21,16.6,,,,,,,,,,,,,,,,,,
9,22,765,,,,,,,,,,,,,,,,,,
9,23,1080,,,,,,,,,,,,,,,,,,
9,24,1033,,,,,,,,,,,,,,,,,,
9,25,1000,,,,,,,,,,,,,,,,,,
9,26,1293,,,,,,,,,,,,,,,,,,
9,27,1238,,,,,,,,,,,,,,,,,,
9,28,1129,,,,,,,,,,,,,,,,,,
9,29,1024,,,,,,,,,,,,,,,,,,
9,30,1022,,,,,,,,,,,,,,,,,,
9,31,456,,,,,,,,,,,,,,,,,,
16,19,394,,,,,,,,,,,,,,,,,,
16,20,848,,,,,,,,,,,,,,,,,,
16,21,636,,,,,,,,,,,,,,,,,,
16,22,730,,,,,,,,,,,,,,,,,,
16,23,718,,,,,,,,,,,,,,,,,,
16,24,804,,,,,,,,,,,,,,,,,,
16,25,777,,,,,,,,,,,,,,,,,,
16,26,1153,,,,,,,,,,,,,,,,,,
16,27,1171,,,,,,,,,,,,,,,,,,
16,28,1184,,,,,,,,,,,,,,,,,,
16,29,1024,,,,,,,,,,,,,,,,,,
16,30,1022,,,,,,,,,,,,,,,,,,
16,31,268,,,,,,,,,,,,,,,,,,
18,19,113,,,,,,,,,,,,,,,,,,
18,20,769,,,,,,,,,,,,,,,,,,
18,21,871,,,,,,,,,,,,,,,,,,
18,22,429,,,,,,,,,,,,,,,,,,
18,23,417,,,,,,,,,,,,,,,,,,
18,24,502,,,,,,,,,,,,,,,,,,
18,25,476,,,,,,,,,,,,,,,,,,
18,26,852,,,,,,,,,,,,,,,,,,
18,27,904,,,,,,,,,,,,,,,,,,
